mine_id,state,mine_type,coal_type,mine_age_years,production_utilization_pct,production_change_pct,inspection_count_30d,days_since_last_inspection,missed_inspection_count,inspection_completion_rate,observation_count_30d,critical_observation_count,major_observation_count,total_violation_count_30d,total_violation_count_90d,open_violation_count,overdue_violation_count,high_severity_violation_count,critical_violation_count,repeat_violation_count,violation_growth_rate,total_action_count,overdue_action_count,average_action_delay_days,action_completion_rate,action_on_time_rate,verification_pending_count,incident_count_30d,incident_count_90d,fatality_count_90d,injury_count_90d,serious_incident_count,incident_growth_rate,environmental_anomaly_count,environmental_threshold_breach_count,environmental_breach_rate,days_since_last_incident,days_since_last_violation,compliance_rate,overdue_compliance_rate,critical_compliance_gap,zone_violation_count,repeat_violation_neighbor_count,neighbor_zone_risk,contractor_compliance_score,high_risk_contractor_count
IND_MINE_0001,Jharkhand,Mixed,Non-Coking Bituminous,69,94.6,-0.62,2,76,1,84.75,3,0,1,0,8,6,0,3,0,0,-13.91,25,8,6.93,84.6,68.39,1,1,1,0,2,1,-9.18,5,4,80.0,33,59,89.05,16.14,8,11,1,9.89,72.61,4
IND_MINE_0002,Jharkhand,Opencast,Sub-Bituminous,75,84.98,-12.23,3,79,1,82.57,14,1,0,14,23,11,3,4,2,4,10.13,28,13,20.62,74.91,68.95,8,0,4,0,4,2,12.13,2,0,0.0,514,196,68.79,36.95,8,7,4,6.29,89.07,4
IND_MINE_0003,Jharkhand,Mixed,Anthracite,12,84.86,8.86,1,57,2,82.02,5,0,0,1,9,2,0,6,2,3,23.57,32,10,2.71,82.05,65.71,8,0,5,0,5,1,-15.04,6,1,16.67,684,214,91.34,7.76,10,20,9,6.02,100,5
IND_MINE_0004,Jharkhand,Mixed,Sub-Bituminous,55,84.05,-4.95,0,78,1,89.46,17,0,6,9,21,10,1,6,2,3,-16.7,40,4,28.91,91.64,89.59,9,0,1,0,2,0,-17.1,1,0,0.0,703,302,83.45,19.29,5,9,3,7.11,80.83,4
IND_MINE_0005,Jharkhand,Underground,Coking Coal,14,70.69,-6.41,3,36,2,76.06,18,0,5,3,19,1,1,0,0,7,-15.15,36,4,3.5,84.55,71.89,8,0,5,0,6,2,2.78,6,0,0.0,556,189,83.7,22.94,4,3,5,7.45,94.61,1
IND_MINE_0006,Jharkhand,Mixed,Anthracite,47,77.01,8.28,0,33,3,84.98,11,0,4,0,2,2,1,2,2,2,-18.46,4,0,17.44,87.19,80.48,7,4,6,0,2,1,5.53,2,2,100.0,189,103,89.42,8.66,1,13,4,2.33,88.02,5
IND_MINE_0007,Jharkhand,Underground,Sub-Bituminous,38,95.25,8.86,4,17,0,93.25,7,0,7,1,18,9,6,0,0,4,-8.22,22,0,16.97,96.94,81.03,9,0,6,0,0,1,13.0,1,0,0.0,152,49,85.51,16.61,3,17,2,7.06,91.71,5
IND_MINE_0008,Jharkhand,Underground,Coking Coal,48,81.46,-5.24,1,68,0,94.1,18,0,3,4,15,10,10,1,1,7,-8.76,26,6,17.73,89.11,85.93,7,0,0,0,0,0,37.5,4,1,25.0,649,59,79.62,20.53,5,14,2,8.37,76.21,2
IND_MINE_0009,Jharkhand,Opencast,Non-Coking Bituminous,51,84.54,4.06,0,59,2,88.57,10,1,4,6,8,7,1,5,2,3,18.99,27,0,20.55,94.92,92.53,0,1,3,0,5,2,23.13,3,0,0.0,317,328,84.33,21.23,2,6,5,2.65,59.48,3
IND_MINE_0010,Jharkhand,Underground,Non-Coking Bituminous,44,76.47,4.43,1,56,0,89.43,2,0,2,10,16,3,0,3,1,6,-4.23,31,4,24.02,82.24,76.94,2,3,5,0,8,0,29.34,5,2,40.0,252,343,83.09,14.51,2,8,0,8.78,60.73,2
IND_MINE_0011,Jharkhand,Opencast,Coking Coal,46,78.29,5.51,2,23,0,95.17,10,2,5,8,13,12,10,6,1,2,-0.13,28,5,15.9,85.6,83.34,12,1,5,0,1,2,-2.31,6,4,66.67,8,263,63.86,36.28,6,18,2,7.16,73.72,3
IND_MINE_0012,Jharkhand,Mixed,Anthracite,64,88.58,-7.78,0,24,4,75.5,17,0,0,7,12,3,0,4,1,5,2.64,27,7,19.02,87.68,81.36,1,1,6,0,6,1,0.78,2,1,50.0,545,98,87.1,12.75,7,13,4,6.19,82.59,4
IND_MINE_0013,Jharkhand,Opencast,Coking Coal,56,82.41,8.96,3,36,2,73.19,2,0,2,0,7,6,3,0,0,0,13.02,24,8,18.32,83.26,77.49,12,0,4,0,8,1,-18.16,8,4,50.0,297,192,93.59,9.3,10,10,9,3.7,88.92,2
IND_MINE_0014,Jharkhand,Opencast,Anthracite,51,80.45,-0.48,2,56,0,91.46,12,0,2,5,14,10,6,4,0,1,-9.99,36,4,15.11,87.33,86.43,0,1,1,0,2,1,6.34,1,0,0.0,533,249,83.65,21.83,5,0,3,4.25,83.08,0
IND_MINE_0015,Jharkhand,Opencast,Non-Coking Bituminous,63,71.84,-10.21,2,51,0,83.53,11,0,7,9,22,3,2,6,0,6,-19.06,30,13,17.34,77.16,76.16,0,0,5,0,5,1,5.48,6,1,16.67,554,316,79.33,16.5,1,9,2,3.7,86.01,5
IND_MINE_0016,Jharkhand,Underground,Anthracite,47,49.36,18.16,1,6,2,85.63,12,0,7,12,29,24,20,6,0,0,6.54,36,2,0.15,90.51,78.11,0,1,2,0,4,2,38.46,4,0,0.0,87,290,57.56,46.03,0,6,7,7.66,59.89,3
IND_MINE_0017,Jharkhand,Mixed,Coking Coal,69,88.64,7.49,0,77,2,75.55,14,0,6,10,24,2,1,0,0,2,0.44,29,12,30.93,80.0,62.3,8,0,6,0,1,1,23.74,3,3,100.0,630,304,82.62,24.91,0,1,3,3.25,93.06,3
IND_MINE_0018,Jharkhand,Underground,Anthracite,49,92.81,17.2,5,31,1,81.87,10,0,4,1,6,1,0,0,0,5,-16.08,7,1,33.39,82.85,73.24,2,0,1,0,2,1,-23.95,3,3,100.0,216,309,89.97,9.28,2,12,2,1.4,100,5
IND_MINE_0019,Jharkhand,Opencast,Anthracite,13,83.77,9.94,0,42,1,94.93,7,0,7,2,20,6,3,1,0,7,26.96,31,5,14.53,89.82,87.74,0,0,6,0,3,0,36.45,4,2,50.0,301,310,82.92,20.92,1,6,6,5.88,70.75,3
IND_MINE_0020,Jharkhand,Opencast,Sub-Bituminous,28,99,-4.65,2,14,0,95.54,9,0,1,3,13,12,1,2,2,0,16.14,25,2,30.09,87.05,74.44,11,2,5,0,4,1,38.13,5,1,20.0,669,321,94.84,9.06,3,6,4,1.94,85.3,4
IND_MINE_0021,Jharkhand,Opencast,Non-Coking Bituminous,70,88.16,3.9,2,47,2,76.31,10,1,0,12,23,16,12,3,2,5,9.22,30,0,30.46,86.95,71.94,1,0,3,0,2,0,33.94,0,0,0,5,250,58.66,42.96,5,15,7,6.25,56.96,4
IND_MINE_0022,Jharkhand,Underground,Anthracite,20,87.8,15.1,1,57,1,81.54,6,0,5,1,4,4,4,0,0,0,25.58,28,12,28.26,69.93,65.17,1,1,2,0,4,2,-2.71,4,2,50.0,559,100,94.71,9.41,6,18,8,9.9,96.96,5
IND_MINE_0023,Jharkhand,Underground,Non-Coking Bituminous,53,81.93,29.32,4,68,1,89.38,3,1,0,7,15,5,4,2,1,2,23.03,39,14,16.41,79.34,79.26,5,2,7,2,4,2,9.76,4,4,100.0,314,122,72.02,25.88,2,0,9,5.06,85.27,2
IND_MINE_0024,Jharkhand,Underground,Non-Coking Bituminous,70,87.21,-10.33,0,89,2,83.5,5,0,1,3,21,10,0,3,2,4,13.41,31,10,28.44,72.64,60.39,1,0,2,0,0,2,-7.83,3,0,0.0,662,195,92.47,13.96,7,10,0,5.36,59.41,4
IND_MINE_0025,Jharkhand,Opencast,Non-Coking Bituminous,75,88.35,-8.4,4,31,1,83.9,17,0,8,5,19,19,14,4,2,3,14.55,40,20,33.52,66.96,66.48,1,0,3,0,6,0,20.49,1,1,100.0,22,31,73.25,22.87,1,7,9,2.55,80.48,5
IND_MINE_0026,Jharkhand,Underground,Anthracite,11,84.77,-8.3,3,56,2,87.96,6,1,1,8,17,9,9,1,1,5,-16.05,34,15,10.02,66.16,55.05,3,0,6,0,4,2,21.3,7,1,14.29,584,46,71.42,30.86,5,2,3,3.5,69.87,3
